sample_ID,frag_ID,genotype,treatment,rep_number_tank,coral_species,sp,tank,timepoint,notes,run
B05_1_3SP_T0,B05_1_3SP,B05,3SP,1,Montipora capitata,MCAP,TANK23,T0,,
B06_1_3SP_T0,B06_1_3SP,B06,3SP,1,Montipora capitata,MCAP,TANK23,T0,,
B07_1_3SP_T0,B07_1_3SP,B07,3SP,1,Montipora capitata,MCAP,TANK23,T0,,
B08_1_3SP_T0,B08_1_3SP,B08,3SP,1,Montipora capitata,MCAP,TANK23,T0,,
B09_1_3SP_T0,B09_1_3SP,B09,3SP,1,Montipora capitata,MCAP,TANK5,T0,,
B10_1_3SP_T0,B10_1_3SP,B10,3SP,1,Montipora capitata,MCAP,TANK5,T0,,
B11_1_3SP_T0,B11_1_3SP,B11,3SP,1,Montipora capitata,MCAP,TANK5,T0,,
B12_1_3SP_T0,B12_1_3SP,B12,3SP,1,Montipora capitata,MCAP,TANK5,T0,,
B13_1_3SP_T0,B13_1_3SP,B13,3SP,1,Montipora capitata,MCAP,TANK19,T0,,
B14_1_3SP_T0,B14_1_3SP,B14,3SP,1,Montipora capitata,MCAP,TANK19,T0,,
B15_1_3SP_T0,B15_1_3SP,B15,3SP,1,Montipora capitata,MCAP,TANK19,T0,,
B16_1_3SP_T0,B16_1_3SP,B16,3SP,1,Montipora capitata,MCAP,TANK19,T0,,
A01_1_MONO_T0,A01_1_MONO,A01,MONO,1,Porites compressa,PCOM,TANK20,T0,,
A02_1_MONO_T0,A02_1_MONO,A02,MONO,1,Porites compressa,PCOM,TANK20,T0,,
A03_1_MONO_T0,A03_1_MONO,A03,MONO,1,Porites compressa,PCOM,TANK20,T0,,
A04_1_MONO_T0,A04_1_MONO,A04,MONO,1,Porites compressa,PCOM,TANK20,T0,,
A05_1_MONO_T0,A05_1_MONO,A05,MONO,1,Porites compressa,PCOM,TANK1,T0,,
A06_1_MONO_T0,A06_1_MONO,A06,MONO,1,Porites compressa,PCOM,TANK1,T0,,
A07_1_MONO_T0,A07_1_MONO,A07,MONO,1,Porites compressa,PCOM,TANK1,T0,,
A08_1_MONO_T0,A08_1_MONO,A08,MONO,1,Porites compressa,PCOM,TANK1,T0,,
A09_1_MONO_T0,A09_1_MONO,A09,MONO,1,Porites compressa,PCOM,TANK6,T0,,
A10_1_MONO_T0,A10_1_MONO,A10,MONO,1,Porites compressa,PCOM,TANK6,T0,,
A11_1_MONO_T0,A11_1_MONO,A11,MONO,1,Porites compressa,PCOM,TANK6,T0,,
A12_1_MONO_T0,A12_1_MONO,A12,MONO,1,Porites compressa,PCOM,TANK6,T0,,
A13_1_MONO_T0,A13_1_MONO,A13,MONO,1,Porites compressa,PCOM,TANK18,T0,,
A14_1_MONO_T0,A14_1_MONO,A14,MONO,1,Porites compressa,PCOM,TANK18,T0,,
A15_1_MONO_T0,A15_1_MONO,A15,MONO,1,Porites compressa,PCOM,TANK18,T0,,
A16_1_MONO_T0,A16_1_MONO,A16,MONO,1,Porites compressa,PCOM,TANK18,T0,,
B01_1_MONO_T0,B01_1_MONO,B01,MONO,1,Montipora capitata,MCAP,TANK10,T0,,
B02_1_MONO_T0,B02_1_MONO,B02,MONO,1,Montipora capitata,MCAP,TANK10,T0,,
B03_1_MONO_T0,B03_1_MONO,B03,MONO,1,Montipora capitata,MCAP,TANK10,T0,,
B04_1_MONO_T0,B04_1_MONO,B04,MONO,1,Montipora capitata,MCAP,TANK10,T0,,
B05_1_MONO_T0,B05_1_MONO,B05,MONO,1,Montipora capitata,MCAP,TANK21,T0,,
B06_1_MONO_T0,B06_1_MONO,B06,MONO,1,Montipora capitata,MCAP,TANK21,T0,,
B07_1_MONO_T0,B07_1_MONO,B07,MONO,1,Montipora capitata,MCAP,TANK21,T0,,
B08_1_MONO_T0,B08_1_MONO,B08,MONO,1,Montipora capitata,MCAP,TANK21,T0,,
B09_1_MONO_T0,B09_1_MONO,B09,MONO,1,Montipora capitata,MCAP,TANK3,T0,,
B10_1_MONO_T0,B10_1_MONO,B10,MONO,1,Montipora capitata,MCAP,TANK3,T0,,
B11_1_MONO_T0,B11_1_MONO,B11,MONO,1,Montipora capitata,MCAP,TANK3,T0,,
B12_1_MONO_T0,B12_1_MONO,B12,MONO,1,Montipora capitata,MCAP,TANK3,T0,,
B13_1_MONO_T0,B13_1_MONO,B13,MONO,1,Montipora capitata,MCAP,TANK14,T0,,
B14_1_MONO_T0,B14_1_MONO,B14,MONO,1,Montipora capitata,MCAP,TANK14,T0,,
B15_1_MONO_T0,B15_1_MONO,B15,MONO,1,Montipora capitata,MCAP,TANK14,T0,,
B16_1_MONO_T0,B16_1_MONO,B16,MONO,1,Montipora capitata,MCAP,TANK14,T0,,
A01_1_FAKE_T0,A01_1_FAKE,A01,FAKE,1,Porites compressa,PCOM,TANK12,T0,,
A02_1_FAKE_T0,A02_1_FAKE,A02,FAKE,1,Porites compressa,PCOM,TANK12,T0,,
A03_1_FAKE_T0,A03_1_FAKE,A03,FAKE,1,Porites compressa,PCOM,TANK12,T0,,
A04_1_FAKE_T0,A04_1_FAKE,A04,FAKE,1,Porites compressa,PCOM,TANK12,T0,,
A05_1_FAKE_T0,A05_1_FAKE,A05,FAKE,1,Porites compressa,PCOM,TANK7,T0,,
A06_1_FAKE_T0,A06_1_FAKE,A06,FAKE,1,Porites compressa,PCOM,TANK7,T0,,
A07_1_FAKE_T0,A07_1_FAKE,A07,FAKE,1,Porites compressa,PCOM,TANK7,T0,,
A08_1_FAKE_T0,A08_1_FAKE,A08,FAKE,1,Porites compressa,PCOM,TANK7,T0,,
A09_1_FAKE_T0,A09_1_FAKE,A09,FAKE,1,Porites compressa,PCOM,TANK22,T0,,
A10_1_FAKE_T0,A10_1_FAKE,A10,FAKE,1,Porites compressa,PCOM,TANK22,T0,,
A11_1_FAKE_T0,A11_1_FAKE,A11,FAKE,1,Porites compressa,PCOM,TANK22,T0,,
A12_1_FAKE_T0,A12_1_FAKE,A12,FAKE,1,Porites compressa,PCOM,TANK22,T0,,
A13_1_FAKE_T0,A13_1_FAKE,A13,FAKE,1,Porites compressa,PCOM,TANK4,T0,,
A14_1_FAKE_T0,A14_1_FAKE,A14,FAKE,1,Porites compressa,PCOM,TANK4,T0,,
A15_1_FAKE_T0,A15_1_FAKE,A15,FAKE,1,Porites compressa,PCOM,TANK4,T0,,
A16_1_FAKE_T0,A16_1_FAKE,A16,FAKE,1,Porites compressa,PCOM,TANK4,T0,,
B01_1_FAKE_T0,B01_1_FAKE,B01,FAKE,1,Montipora capitata,MCAP,TANK17,T0,,
B02_1_FAKE_T0,B02_1_FAKE,B02,FAKE,1,Montipora capitata,MCAP,TANK17,T0,,
B03_1_FAKE_T0,B03_1_FAKE,B03,FAKE,1,Montipora capitata,MCAP,TANK17,T0,,
B04_1_FAKE_T0,B04_1_FAKE,B04,FAKE,1,Montipora capitata,MCAP,TANK17,T0,,
B05_1_FAKE_T0,B05_1_FAKE,B05,FAKE,1,Montipora capitata,MCAP,TANK8,T0,,
B06_1_FAKE_T0,B06_1_FAKE,B06,FAKE,1,Montipora capitata,MCAP,TANK8,T0,,
B07_1_FAKE_T0,B07_1_FAKE,B07,FAKE,1,Montipora capitata,MCAP,TANK8,T0,,
B08_1_FAKE_T0,B08_1_FAKE,B08,FAKE,1,Montipora capitata,MCAP,TANK8,T0,,
B09_1_FAKE_T0,B09_1_FAKE,B09,FAKE,1,Montipora capitata,MCAP,TANK15,T0,,
B10_1_FAKE_T0,B10_1_FAKE,B10,FAKE,1,Montipora capitata,MCAP,TANK15,T0,,
B11_1_FAKE_T0,B11_1_FAKE,B11,FAKE,1,Montipora capitata,MCAP,TANK15,T0,,
B12_1_FAKE_T0,B12_1_FAKE,B12,FAKE,1,Montipora capitata,MCAP,TANK15,T0,,
B13_1_FAKE_T0,B13_1_FAKE,B13,FAKE,1,Montipora capitata,MCAP,TANK11,T0,,
B14_1_FAKE_T0,B14_1_FAKE,B14,FAKE,1,Montipora capitata,MCAP,TANK11,T0,,
B15_1_FAKE_T0,B15_1_FAKE,B15,FAKE,1,Montipora capitata,MCAP,TANK11,T0,,
B16_1_FAKE_T0,B16_1_FAKE,B16,FAKE,1,Montipora capitata,MCAP,TANK11,T0,,
A01_1_6SP_T1,A01_1_6SP,A01,6SP,1,Porites compressa,PCOM,TANK2,T1,,
A02_1_6SP_T1,A02_1_6SP,A02,6SP,1,Porites compressa,PCOM,TANK2,T1,,
A03_1_6SP_T1,A03_1_6SP,A03,6SP,1,Porites compressa,PCOM,TANK2,T1,,
A04_1_6SP_T1,A04_1_6SP,A04,6SP,1,Porites compressa,PCOM,TANK2,T1,,
A05_1_6SP_T1,A05_1_6SP,A05,6SP,1,Porites compressa,PCOM,TANK16,T1,DEAD,
A06_1_6SP_T1,A06_1_6SP,A06,6SP,1,Porites compressa,PCOM,TANK16,T1,DEAD,
A07_1_6SP_T1,A07_1_6SP,A07,6SP,1,Porites compressa,PCOM,TANK16,T1,DEAD,
A08_1_6SP_T1,A08_1_6SP,A08,6SP,1,Porites compressa,PCOM,TANK16,T1,DEAD,
